gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk
femalemonologue1_t2-cam01.mp4_segment_1_Gesture_0.70_1.66,femalemonologue1,L,4,4,4,0.06940178973780857,2.442651434887749,0.96,2,0.32,4.0,2,2.585904860517235,1.9272979045609366,1.9272979045609366,2,1.4537468842929755,3.0507629633783857,1.0433443815873717,27.54727401743954,0.35221109947589574,382.2895523352045,2.3909531417077132,0.7523883162637537,21.314578901045024,0.2735463741086301,306.23790071068004
femalemonologue1_t2-cam01.mp4_segment_2_Gesture_3.50_4.50,femalemonologue1,L,4,4,2,0.013713874419263996,2.450890276895773,1.0,0,0.0,0.0,1,1.085082406647321,1.085082406647321,1.085082406647321,1,0.5318368304855416,1.2139046551046637,0.37607402382231697,8.35174117427473,0.29287310295252966,128.860680481558,0.6123834614533891,0.22084780137789256,5.773913317479629,0.17546784396790452,74.83591249230209
femalemonologue1_t2-cam01.mp4_segment_3_Move_7.02_7.58,femalemonologue1,L,3,4,3,0.0020211868603472374,0.0,0.56,0,0.0,0.0,2,0.7751775229415857,0.5445723183485073,0.5445723183485073,2,0.3380477708568823,0.7102721386869761,0.3187966690534955,7.202878479970411,0.434124260821193,111.95974393563226,0.4695391527707573,0.18754701228261886,3.7677396831861234,0.5647128504586251,64.72891814031023
femalemonologue1_t2-cam01.mp4_segment_4_Gesture_7.70_9.30,femalemonologue1,L,4,4,4,0.008635542146081287,2.1356487637633093,1.6,2,0.44,5.5,3,1.1879190938504984,0.8094838332881688,0.8094838332881688,3,0.6957513582235854,1.382762584099639,0.39764163458778923,10.523812161862576,0.0,160.56098756361774,1.2710830578208059,0.32524070790883397,9.284295544123927,0.0,143.27050097948302
femalemonologue1_t2-cam01.mp4_segment_5_Gesture_10.70_12.46,femalemonologue1,L,4,4,4,0.05865345766448063,5.0,1.76,0,0.0,0.0,2,2.4149036961344934,1.5877550462284122,1.5877550462284122,3,0.6157540501616711,2.976816984616626,0.6044404890266454,29.02280702452035,0.3751490385457733,397.97772550761835,1.6306250735245473,0.29965150614680497,14.247137787776241,0.05768471422586808,204.5019307132801
femalemonologue1_t2-cam01.mp4_segment_6_Gesture_13.38_17.78,femalemonologue1,L,4,4,4,0.015663374176253835,2.6646182900649555,4.4,4,1.96,12.25,5,0.683695463527307,0.33570976579725303,0.33570976579725303,2,0.3113113334220543,0.6897549235443244,0.18519400479066184,4.964138077710532,0.03294090258161176,56.72295751826555,0.33845703611477435,0.08452518255323403,2.3565436894115597,0.033786466688589985,31.43096206682576
femalemonologue1_t2-cam10.mp4_segment_1_Gesture_0.58_1.30,femalemonologue1,R,3,4,2,0.0022863122144072823,2.5206023664068606,0.72,0,0.0,0.0,1,0.5491529780809167,0.5491529780809167,0.5491529780809167,1,0.3109667582595212,0.5468012404188162,0.31213052979732975,3.601783517984321,0.15041857633287378,41.69491711591069,0.3197484233130873,0.16857605705850967,1.9348481702020563,0.1695228823401658,28.344334362949436
femalemonologue1_t2-cam10.mp4_segment_2_Gesture_3.42_4.54,femalemonologue1,R,3,4,4,0.028863992635465536,0.0,1.12,0,0.0,0.0,3,1.4747474705497858,0.8740259802665754,0.8740259802665754,1,0.9474166980760049,1.6532208782862126,0.5658421782267643,14.20937264078921,0.9701614536288288,189.49794800758323,1.0350327784796123,0.3472142270924173,8.072940655913978,0.4232640151150737,107.69627153594438
femalemonologue1_t2-cam10.mp4_segment_3_Move_4.58_5.54,femalemonologue1,L,4,4,4,0.0023484896516130843,2.328132408835165,0.96,1,0.12,3.0,1,0.4491844514035072,0.4491844514035072,0.4491844514035072,1,0.2579436608662913,0.4480654783296024,0.22506091881654133,2.3197491425666414,0.08364180346401333,27.62192437140207,0.2524956167733108,0.1249230235271593,1.370112462215794,0.20855973512262826,18.265173857045482
femalemonologue1_t2-cam10.mp4_segment_4_Move_6.62_7.22,femalemonologue1,L,1,2,2,6.47802426162447e-05,2.3524107202047344,0.56,0,0.0,0.0,1,0.2313894190346662,0.2313894190346662,0.2313894190346662,1,0.0,0.24331518102282207,0.1108019480629395,2.096265604503428,0.11025610869271694,25.525698602889427,0.10925862173743171,0.05056769185495024,0.7970951792619276,0.06151249994447732,11.290743968030302
femalemonologue1_t2-cam10.mp4_segment_5_Gesture_7.82_8.70,femalemonologue1,R,3,4,4,0.0005787398770921007,2.5883945837362323,0.84,0,0.0,0.0,2,0.6598695042696483,0.49831422220982197,0.49831422220982197,1,0.2401265940300159,0.6879705008324695,0.31272872067729235,3.8302360142838543,0.7217915031525207,58.10237508467209,0.23915329674755545,0.16181483202678498,1.8689892029522142,0.3077280820474007,23.062212301901983
femalemonologue1_t2-cam10.mp4_segment_6_Gesture_12.54_14.82,femalemonologue1,L,4,4,4,0.009098805823977188,2.663637204820393,2.28,0,0.0,0.0,2,0.9750995240162953,0.7970381115360681,0.7970381115360681,3,0.32134622026026977,0.9925482588198963,0.3398728918431086,5.247295621124007,0.15091431293123614,64.32401375374047,0.47506991571162693,0.17755699100921787,3.7985089633802644,0.16823172930652913,38.40322600437427
femalemonologue1_t2-cam10.mp4_segment_7_Move_16.90_17.50,femalemonologue1,L,3,4,4,0.005579944392329314,2.4547137957133986,0.6,0,0.0,0.0,2,1.0184360285924432,0.8842182567977253,0.8842182567977253,2,0.34591758875125045,1.1415182618825797,0.5500169067751798,9.134098954379569,1.3037101206389354,152.5548941136927,0.5121319889431328,0.21658375884999692,3.8450741636751333,0.4785847376187126,68.49735024449986
femalemonologue1_t2-cam22.mp4_segment_1_Gesture_0.54_1.38,femalemonologue1,L,2,4,2,0.008879084111776252,2.3555468138679,0.8,0,0.0,0.0,1,1.2609087312514613,1.2609087312514613,1.2609087312514613,1,0.21914776643578615,1.4185382338165704,0.4119037990617581,9.859140417873183,0.16417163627154363,158.08510484367156,0.28121075318635985,0.09524810905955503,2.830860282841962,0.08219726051218933,41.27722673256366
femalemonologue1_t2-cam22.mp4_segment_2_Gesture_3.58_4.42,femalemonologue1,R,2,2,2,0.0017834149622014028,2.663909847618465,0.8,0,0.0,0.0,1,0.5137733007875304,0.5137733007875304,0.5137733007875304,1,0.0,0.5972083392989294,0.322513184202125,7.650478224158933,0.7524932644730868,92.93339728257821,0.218849329713114,0.13517811263759727,3.0688060778981767,0.25839803952237617,41.08376484500019
femalemonologue1_t2-cam22.mp4_segment_3_Move_4.58_5.30,femalemonologue1,L,1,4,4,0.0008569590912978226,0.0,0.68,1,0.16,4.0,1,0.43101879486924455,0.43101879486924455,0.43101879486924455,1,0.15794917556178878,0.4404270129578643,0.22677829367868302,2.5003709975531425,0.15623229959508386,33.54393430037792,0.16240597755370384,0.08497899033921377,0.9086758097600124,0.1169178225743093,12.490188495330157
femalemonologue1_t2-cam22.mp4_segment_4_Gesture_5.54_6.86,femalemonologue1,L,2,4,2,0.0006699872284463764,2.3029286941456686,1.32,0,0.0,0.0,2,0.4281008737994795,0.31026005481983276,0.31026005481983276,1,0.0,0.503779258995212,0.220423531447655,5.435073550919622,0.3149299273523219,61.11280702815585,0.26287684892678276,0.09434799975097456,2.0869688252497105,0.13893955697093566,25.50519779046479
femalemonologue1_t2-cam22.mp4_segment_5_Move_6.98_7.90,femalemonologue1,R,1,2,2,0.0002100424120005598,2.602394321894554,0.92,1,0.2,5.0,1,0.3467006608277723,0.3467006608277723,0.3467006608277723,1,0.0,0.46255103226667993,0.19634060411068047,5.716010612924412,0.16891252597102532,73.97397596016755,0.19824457281252056,0.0703716435004246,2.353105633816208,0.03145137870630798,28.24029307168811
femalemonologue1_t2-cam22.mp4_segment_6_Gesture_11.22_16.58,femalemonologue1,L,4,4,4,0.03796603044985581,2.730183147253988,5.32,6,1.64,6.833333333333333,7,1.1858711374686242,0.5690197821424469,0.5690197821424469,4,0.25486620445118646,1.213518979639373,0.25362212032632425,12.657631857102457,0.027668602804621956,160.20738592323158,0.3237688038351181,0.10400155295570548,3.229702956300536,0.024075265146855304,49.326427510600006
femalemonologue1_t2-cam22.mp4_segment_7_Move_16.62_17.94,femalemonologue1,R,2,2,2,0.0001639090598053079,2.4251268663867664,1.32,2,0.72,9.0,1,0.0,0.0,0.0,1,0.0,0.181034589408091,0.0813353576203023,0.9933063080715387,0.08541012104238234,16.98011521284471,0.09392090851583272,0.03442052378251486,0.7051204690941741,0.020444391415487644,8.867133586423577
